recordid,forminserted,formupdated,inspector,reportdate,reservation,sitelocation,facility,locationinfonumber,locationtype,itemlocation,latitude,longitude,deficiency,recommendation,additionalnotes,level,image1,image2,image3,completed
77,8/1/16 15:13,9/29/16 7:47,Jesse E. Schook,8/1/16 0:00,Brecksville Reservation,Plateau Picnic Area,Plateau Picnic Shelter,1,Parking,Parking lot,41.315111,-81.599557,No access aisle striped (502.3.3); No accessible van signage (502.6); Slopes exceed 2% at about 7% (502.4),Regrade; Add van access signage; Restripe,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_79.jpg,,,TRUE
126,8/23/16 10:55,8/23/16 10:55,Kelly B. Coffman,8/23/16 0:00,North Chagrin Reservation,Manakiki Golf Course,Romtec Toilet near No 3 Tee,1,Bathroom,Single Romtec,41.593442,-81.436445,"Sign on door; rear grab bar angles with wall; 6 to 8"" gap around edges of slab in areas",Add sign at side of door with Braille; eventually replace; fill around slab and seed,,Minor,,,,TRUE
138,8/23/16 14:29,9/29/16 11:53,Tammy M. Oliver,8/23/16 0:00,Ohio & Erie Canal Reservation,CanalWay Visitor Center,Leonard Krieger CanalWay Visitor Center,16,Other,Permanent Room Signage within NC,41.430529,-81.662718,Permanent room signage not accessible throughout building(703),Add new signage,,Unassigned,,,,FALSE
66,7/21/16 11:04,9/20/16 11:00,Kelly B. Coffman,7/21/16 0:00,Euclid Creek Reservation,Highland Picnic Area,Highland APT Romtec Restrooms,1,Bathroom,Romtec,41.444942,-81.716352,sanitizer too high; signs on door; rear grab bars not compliant;  pavement transition to slab very uneven,"lower to 48""; add compliant signage on sides; fix rear grab bars if possible; remove and replace asphalt at pad to provide smooth transition",,Moderate,,,,TRUE
71,7/22/16 9:44,9/29/16 6:28,Sara B. Maier,7/13/16 0:00,Brecksville Reservation,Harriet Keeler Picnic Area,Harriet Keeler Restrooms,4,Bathroom,Men's Restroom,41.319571,-81.615667,"Braille gender sign is 62” aff (703.4.1); Secondary TP dispenser is <12” above the side grab bar (609); Toilet seat cover dispenser is >48” aff (608); Urinal rim depth is too shallow at 8” (605.2); Urinal is placed within the clear floor space requirement for the toilet (605, 604.9)",Move Braille gender sign; Move or remove secondary TP dispenser; Move toilet seat cover dispenser down; Replace or remove urinal; Move or remove urinal,,Unassigned,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0080-(1).JPG,,,TRUE
97,8/17/16 11:17,8/17/16 11:57,Kelly B. Coffman,8/17/16 0:00,North Chagrin Reservation,Intergrove Lodge Picnic Area,Intergrove Reserved Lodge,3,Parking,Intergrove Parking,41.575256,-81.432952,31 spaces with 2 ADA no van and no signs;,Add van spot and signage;,,Minor,,,,TRUE
18,7/12/16 10:06,9/28/16 16:32,Tammy M. Oliver,7/11/16 0:00,Bedford Reservation,Willis Picnic Area,Willis Reserved Picnic Shelter,2,Parking,ADA parking spaces,41.386839,-81.536703,lines not visible (703.7.2.1) and no car or van signs (502.6); ( access route not provided (502.3) ; transition to path exceeds 7% cross slope (403.3,Paint new lines provide signs; provide access route; fix cross slope,"96 Parking Spaces, 5 ADA (4 car, 1 van)",Critical,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_20.JPG,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_21.JPG,,FALSE
20,7/13/16 10:36,7/13/16 10:36,Ryan J. Denker,7/13/16 0:00,Mill Stream Run Reservation,North Quarry Picnic Area,North Quarry Picnic Area Cookhouse Shelter,1,Parking,Parking,41.36453,-81.858007,"Not located on shortest accessible route; no signs (502.6, 703.7.2.1); cross slope in front right corner (502.4)",Locate on shortest accessible route; add signs; fix cross slope,,Unassigned,,,,FALSE
21,7/13/16 10:38,9/20/16 17:09,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Clubhouse,7,Other,Interior signage,41.501904,-81.489868,No tactile characters provided on interior signage except restrooms (703.4.1); lower restroom signage,Replace interior signage; lower restroom signage,,Serious,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_10.jpg,,,FALSE
21,7/13/16 10:38,9/20/16 17:09,Tammy M. Oliver,7/13/16 0:00,Acacia Reservation,Acacia Reservation,Acacia Golf Clubhouse,9,Bathroom,Women's restroom near Buckeye room,41.501828,-81.489632,"No signage(703); mirror 1.5"" too high (603.3); no self closing door on stall (604); coat hook too high at 81"" (308); toilet seat too far from side wall at 18 1/2""(604.2); toilet paper too close to toilet seat at 6"" (604.7); toilet compartment door is too low at 7"" (604.8.1.4); shower stall not compliant, no roll-in, grab bars, water controls(608)",Add signage; lower mirror; add door closer; lower coat hook; shift toilet closer to wall; shift to holder further from toilet; raise door; revise shower layout,Lounge area in women's room has counters and sink that are not accessible,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_13.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_15.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_16.jpg,FALSE
